STATION;VALID_FROM;VALID_TO;ISSUE_ID;ISSUE_RELEVANCY;ISSUE DESCRIPTION;TESTED;TESTER;INPUT1;INPUT2;STATUS;COMMENTS
7B.A339A.00.LHE;2015-09-02;;4.04;5;metadata - not conjugated Poles in the PolesZerosResponseStage;240523;LV:lv_codes;META::240521;;found:240523;inventoryP&Z: imag(prod(Poles))!=0  stage1: Poles=[(-0.07405+0.07405j), (-0.07405-0.07405j), (-177.72+177.72j), (-177.72+177.72j)]
7B.A339A.00.HHE;2015-09-02;;4.04;5;metadata - not conjugated Poles in the PolesZerosResponseStage;240523;LV:lv_codes;META::240521;;found:240523;inventoryP&Z: imag(prod(Poles))!=0  stage1: Poles=[(-0.07405+0.07405j), (-0.07405-0.07405j), (-177.72+177.72j), (-177.72+177.72j)]
AC.BCI.00.HHE;2009-12-22;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 379.58 s, table: 40.00 s
AC.BCI.00.HHN;2009-12-22;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 379.58 s, table: 40.00 s
AC.BCI.00.HHZ;2009-12-22;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 379.58 s, table: 40.00 s
AC.BERA.00.HHE;2022-07-19;;4;5;metadata response failure;240523;LV:lv_codes;META::240521;;found:240523;check_channel: Illegal RESP format
AC.BERA.00.HHN;2022-07-19;;4;5;metadata response failure;240523;LV:lv_codes;META::240521;;found:240523;check_channel: Illegal RESP format
AC.BERA.00.HHZ;2022-07-19;;4;5;metadata response failure;240523;LV:lv_codes;META::240521;;found:240523;check_channel: Illegal RESP format
AC.LACI.00.HHE;2022-07-19;;4;5;metadata response failure;240523;LV:lv_codes;META::240521;;found:240523;check_channel: Illegal RESP format
AC.LACI.00.HHN;2022-07-19;;4;5;metadata response failure;240523;LV:lv_codes;META::240521;;found:240523;check_channel: Illegal RESP format
AC.LACI.00.HHZ;2022-07-19;;4;5;metadata response failure;240523;LV:lv_codes;META::240521;;found:240523;check_channel: Illegal RESP format
AC.LSK.00.HHE;2010-01-01;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 379.58 s, table: 120.00 s
AC.LSK.00.HHN;2010-01-01;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 379.58 s, table: 120.00 s
AC.LSK.00.HHZ;2010-01-01;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 379.58 s, table: 120.00 s
AC.PUK.00.HHE;2009-05-29;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 40.52 s, table: 30.00 s
AC.PUK.00.HHN;2009-05-29;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 40.52 s, table: 30.00 s
AC.PUK.00.HHZ;2009-05-29;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 40.52 s, table: 30.00 s
AC.SRN.00.HHE;2024-01-09;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 40.52 s, table: 120.00 s
AC.SRN.00.HHN;2024-01-09;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 40.52 s, table: 120.00 s
AC.SRN.00.HHZ;2024-01-09;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 40.52 s, table: 120.00 s
BS.BLKB..BHE;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.BLKB..BHN;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.BLKB..BHZ;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.BLKB..HHE;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.BLKB..HHN;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.BLKB..HHZ;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.DIM..HHZ;2005-12-02;;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band H -> E (sr: 100.0 Hz, corner period: 1.01 s)
BS.DIM..HHN;2005-12-02;;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band H -> E (sr: 100.0 Hz, corner period: 1.01 s)
BS.DIM..HHE;2005-12-02;;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band H -> E (sr: 100.0 Hz, corner period: 1.01 s)
BS.ELND..BHE;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.ELND..BHN;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.ELND..BHZ;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.ELND..HHE;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.ELND..HHN;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.ELND..HHZ;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.JMB..BHZ;2004-04-01;;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band B -> S (sr: 20.0 Hz, corner period: 2.99 s)
BS.JMB..BHN;2004-04-01;;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band B -> S (sr: 20.0 Hz, corner period: 2.99 s)
BS.JMB..BHE;2004-04-01;;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band B -> S (sr: 20.0 Hz, corner period: 2.99 s)
BS.KALB..BHE;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.KALB..BHN;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.KALB..BHZ;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.KALB..HHE;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.KALB..HHN;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.KALB..HHZ;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.KUBB..BHE;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.KUBB..BHN;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.KUBB..BHZ;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.KUBB..HHE;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.KUBB..HHN;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.KUBB..HHZ;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.LOZB..BHE;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.LOZB..BHN;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.LOZB..BHZ;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
